RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
255953,300186485,GER,LOEW Joachim (GER),S,5,HUMMELS,,G13'
43950500,43950063,TUR,GUNES Senol (TUR),S,17,ILHAN MANSIZ,,G13' G32'
97410100,97410015,ESP,ARAGONES Luis (ESP),S,14,ALONSO,,G13' O55'
251,1882,MEX,CARDENAS Raul (MEX),S,17,Jose Luis GONZALEZ,,G13' O68'
249722,300061463,SVN,KEK Matjaz (SVN),S,10,BIRSA,,G13' O87'
211,1283,FRG,HERBERGER Sepp (FRG),S,20,Hans SCHAEFER,,G14'
238,1597,BRA,FEOLA Vicente (BRA),S,20,TOSTAO,,G14'
262,2186,YUG,MILJANIC Miljan (SRB),S,11,Dragan DZAJIC,C,G14'
278,2451,SCO,MacLEOD Alistair (SCO),S,9,Joe JORDAN,,G14'
279,2221,ITA,BEARZOT Enzo (ITA),S,21,Paolo ROSSI,,G14'
249722,300061486,CIV,ERIKSSON Sven Goran (SWE),S,19,TOURE YAYA,,G14'
208,1185,URU,LOPEZ Juan (URU),S,0,Oscar MIGUEZ,,G14' G40' G51'
250,1753,URS,KACHALIN Gavril (URS),S,16,Anatoly BISHOVETS,,G14' G63'
43950100,43950032,POR,OLIVEIRA Antonio (POR),S,9,PAULETA,,G14' G65' G77'
211,1301,SUI,RAPPAN Karl (AUT),S,18,Sepp HUEGI,,G14' G85'
337,3060,ESP,CLEMENTE Javier (ESP),S,7,GOIKOETXEA,,G14' O64'
255931,300186473,CHI,SAMPAOLI Jorge (ARG),S,10,VALDIVIA,,G14' O68'
1028,8787,CRO,BLAZEVIC Miroslav (BIH),S,8,Robert PROSINECKI,,G14' O79'
263,1946,GDR,BUSCHNER Georg (GER),S,11,Joachim STREICH,,G14' O80'
201,1084,CHI,ORTH Gyorgy (HUN),S,0,Guillermo SUBIABRE,C,G15'
206,1173,HUN,DIETZ Karoly (HUN),S,0,Geza TOLDI,,G15'
209,1206,SWE,RAYNOR George (ENG),S,0,Stig SUNDQVIST,,G15'
211,1276,YUG,TIRNANIC Aleksandar (YUG),S,18,Milos MILUTINOVIC,,G15'
220,1332,URS,KACHALIN Gavril (URS),S,11,Anatoli ILYIN,,G15'
3480,1463,TCH,VYTLACIL Rudolf (TCH),S,6,Josef MASOPUST,,G15'
238,1656,FRG,SCHOEN Helmut (FRG),S,10,Sigi HELD,,G15'
238,1596,BRA,FEOLA Vicente (BRA),S,10,PEL� (Edson Arantes do Nascimento),,G15'
238,1598,POR,GLORIA Otto (BRA),S,11,ANTONIO SIMOES,,G15'
238,1599,BUL,VYTLACIL Rudolf (TCH),S,9,Georgi ASPARUKHOV,,G15'
278,2199,ARG,MENOTTI Cesar Luis (ARG),S,14,Leopoldo LUQUE,,G15'
278,2350,FRG,SCHOEN Helmut (FRG),S,14,Dieter MUELLER,,G15'
43950100,43950026,BRA,SCOLARI Luiz Felipe (BRA),S,6,R CARLOS,,G15'
279,2251,BRA,COUTINHO Claudio (BRA),S,11,DIRCEU,,G15' G28'
337,3079,RUS,SADYRIN Pavel (RUS),S,9,Oleg SALENKO,,G15' G41' P44' G72' G75'
251,1768,BRA,ZAGALLO Mario (BRA),S,9,TOSTAO,,G15' G52'
262,1947,ARG,CAP Vladislao (ARG),S,22,Hector YAZALDE,,G15' G68'
308,378,ESP,MUNOZ Miguel (ESP),S,18,Ramon Maria CALDERE,,G15' G68'
308,441,BRA,SANTANA Tele (BRA),S,9,CARECA,,G15' G87'
293,1071,SCO,STEIN Jock (SCO),S,15,Joe JORDAN,,G15' O71'
338,3086,ESP,CLEMENTE Javier (ESP),S,6,R. HIERRO,,G15' O76'
309,568,FRA,MICHEL Henri (FRA),S,10,Michel PLATINI,C,G15' O85'
322,66,BEL,THYS Guy (BEL),S,4,Leo CLIJSTERS,,G15' OH46'
337,3053,ROU,IORDANESCU Anghel (ROU),S,9,Florin RADUCIOIU,,G15' Y39' G89' O90'
208,1194,CHI,BUCCIARDI Arturo (CHI),S,0,Jorge ROBLEDO,,G16'
212,1264,ENG,WINTERBOTTOM Walter (ENG),S,9,Nat LOFTHOUSE,,G16'
220,1388,YUG,TIRNANIC Aleksandar (YUG),S,12,Aleksandar PETAKOVIC,,G16'
220,1327,AUT,ARGAUER Josef (AUT),S,6,Karl KOLLER,,G16'
1024,8779,ENG,HODDLE Glenn (ENG),S,20,Michael OWEN,,G16'
249722,300061457,NGA,LAGERBACK Lars (SWE),S,12,UCHE,,G16'
255931,300186507,JPN,ZACCHERONI Alberto (ITA),S,4,HONDA,,G16'
3483,1382,FRA,BATTEAUX Albert (FRA),S,17,Just FONTAINE,,G16' G36' G78' G89'
212,1237,SUI,RAPPAN Karl (AUT),S,16,Robert BALLAMAN,,G16' G39'
206,1146,FRA,BARREAU Gaston (FRA),S,0,Jean NICOLAS,,G16' G69'
279,2202,ARG,MENOTTI Cesar Luis (ARG),S,10,Mario KEMPES,,G16' G71'
3487,1174,ITA,POZZO Vittorio (ITA),S,0,Silvio PIOLA,,G16' G82'
308,427,BEL,THYS Guy (BEL),S,8,Enzo SCIFO,,G16' O67'
337,3062,SUI,Roy HODGSON (ENG),S,7,Alain SUTTER,,G16' O71'
97410100,97410030,SUI,KUHN Koebi (SUI),S,9,FREI,,G16' O87'
208,1208,USA,JEFFREY Bill (SCO),S,0,Gino PARIANI,,G17'
208,1193,ESP,EIZAGUIRRE Guillermo (ESP),S,0,Estanislao BASORA,,G17'
208,1228,SWE,RAYNOR George (ENG),S,0,Stig SUNDQVIST,,G17'
211,1277,HUN,SEBES Gusztav (HUN),S,10,Ferenc PUSKAS,C,G17'
231,1490,HUN,BAROTI Lajos (HUN),S,10,Lajos TICHY,,G17'
3480,1463,BRA,MOREIRA Aymore (BRA),S,20,AMARILDO,,G17'
295,914,FRG,DERWALL Jupp (GER),S,7,Pierre LITTBARSKI,,G17'
714,440,BRA,SANTANA Tele (BRA),S,9,CARECA,,G17'
3464,28,ITA,VICINI Azeglio (ITA),S,19,Salvatore SCHILLACI,,G17'
1025,8784,ARG,PASSARELLA Daniel (ARG),S,7,Claudio LOPEZ,,G17'
43950100,43950031,TUN,SOUAYAH Ammar (TUN),S,12,BOUZAIENE,,G17'
249722,300061474,JPN,OKADA Takeshi (JPN),S,18,HONDA,,G17'
212,1237,SUI,RAPPAN Karl (AUT),S,18,Sepp HUEGI,,G17' G19' G60'
255931,300186472,BRA,SCOLARI Luiz Felipe (BRA),S,10,NEYMAR JR,,G17' G35' O71'
209,1189,BRA,COSTA Flavio (BRA),S,0,ADEMIR,,G17' G36' G52' G58'
220,1325,TCH,KOLSKY Karel (TCH),S,12,Zdenek ZIKAN,,G17' G40'
211,1313,URU,LOPEZ Juan (URU),S,11,Carlos BORGES,,G17' G47' G57'
249722,300061494,ESP,DEL BOSQUE Vicente (ESP),S,7,DAVID VILLA,,G17' G51' MP62'
97410100,97410001,GER,J�rgen KLINSMANN (GER),S,11,KLOSE,,G17' G61' O79'
220,1415,SWE,RAYNOR George (ENG),S,9,Agne SIMONSSON,,G17' G64'
308,643,ITA,BEARZOT Enzo (ITA),S,18,Alessandro ALTOBELLI,,G17' G73'
262,2085,POL,GORSKI Kazimierz (POL),S,16,Grzegorz LATO,,G17' G87'
208,1188,SUI,ANDREOLI Franco (SUI),S,0,Jackie FATTON,,G17' G88'
255931,300186514,FRA,DESCHAMPS Didier (FRA),S,9,GIROUD,,G17' O63'
255957,300186502,NED,Louis VAN GAAL (NED),S,5,BLIND,,G17' O70'
255957,300186502,NED,Louis VAN GAAL (NED),S,5,BLIND,,G17' O70'
97410100,97410015,ESP,ARAGONES Luis (ESP),S,21,DAVID VILLA,,G17' P48' O55'
204,1104,FRA,KIMPTON George (ENG),S,0,Jean NICOLAS,,G18'
418,1143,SUI,MUELLER Henry (SUI),S,0,Leopold KIELHOLZ,,G18'
208,1185,URU,LOPEZ Juan (URU),S,0,Ernesto VIDAL,,G18'
211,1294,HUN,SEBES Gusztav (HUN),S,4,Mihaly LANTOS,,G18'
211,1300,SUI,RAPPAN Karl (AUT),S,16,Robert BALLAMAN,,G18'
211,1304,TUR,PUPPO Sandro (ITA),S,11,Lefter KUCUKANDONYADIS,,G18'
3483,1382,FRG,HERBERGER Sepp (FRG),S,14,Hans CIESCLARCZYK,,G18'
3476,1765,BRA,ZAGALLO Mario (BRA),S,10,PEL� (Edson Arantes do Nascimento),,G18'
262,2003,FRG,SCHOEN Helmut (FRG),S,3,Paul BREITNER,,G18'
262,2186,YUG,MILJANIC Miljan (SRB),S,9,Ivica SURJAK,,G18'
262,2085,POL,GORSKI Kazimierz (POL),S,12,Kazimierz DEYNA,C,G18'
293,1051,SCO,STEIN Jock (SCO),S,8,Kenny DALGLISH,,G18'
293,994,ITA,BEARZOT Enzo (ITA),S,16,Bruno CONTI,,G18'
293,790,SCO,STEIN Jock (SCO),S,14,David NAREY,,G18'
308,395,ARG,BILARDO Carlos (ARG),S,19,Oscar RUGGERI,,G18'
308,580,SCO,FERGUSON Alex (SCO),S,7,Gordon STRACHAN,,G18'
1014,8766,NED,HIDDINK Guus (NED),S,7,R. de BOER,,G18'
1024,8774,ITA,MALDINI Cesare (ITA),S,21,Christian VIERI,,G18'
43950200,43950056,ITA,TRAPATTONI Giovanni (ITA),S,21,VIERI,,G18'
97410100,97410006,NED,VAN BASTEN Marco (NED),S,11,ROBBEN,,G18'
249719,300061512,NED,Bert VAN MARWIJK (NED),S,5,V. BRONCKHORST,C,G18'
255931,300186514,FRA,DESCHAMPS Didier (FRA),S,14,MATUIDI,,G18'
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,4,DAVID LUIZ,,G18'
255951,300186487,BRA,SCOLARI Luiz Felipe (BRA),S,4,DAVID LUIZ,,G18'
3478,1633,ENG,RAMSEY Alf (ENG),S,10,Geoff HURST,,G18' G101' G120'
204,1135,ITA,POZZO Vittorio (ITA),S,0,Angelo SCHIAVIO,,G18' G29' G64'
202,1101,URU,SUPPICI Alberto (URU),S,0,Pedro CEA,,G18' G67' G72'
3484,1278,FRG,HERBERGER Sepp (FRG),S,12,Helmut RAHN,,G18' G84'
206,1150,BRA,PIMENTA Ademar (BRA),S,0,LEONIDAS,,G18' G93' G104'
262,1947,ARG,CAP Vladislao (ARG),S,11,Rene HOUSEMAN,,G18' O57'
1014,8761,ESP,CLEMENTE Javier (ESP),S,21,LUIS ENRIQUE,,G18' O69'
308,551,ESP,MUNOZ Miguel (ESP),S,19,JULIO SALINAS,,G18' O78'
1014,8764,RSA,TROUSSIER Philippe (FRA),S,9,Shaun BARTLETT,,G18' P90'
249717,300111113,NED,Bert VAN MARWIJK (NED),S,11,ROBBEN,,G18' Y31' O71'
337,3058,KSA,SOLARI Jorge (ARG),S,6,F. AMIN,,G18' Y61'
337,3073,ROU,IORDANESCU Anghel (ROU),S,2,PETRESCU,,G18' Y73'
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,,G19'
3492,1107,ITA,POZZO Vittorio (ITA),S,0,Enrique GUAITA,,G19'
211,1275,FRA,PIBAROT Pierre (FRA),S,22,Jean VINCENT,,G19'
220,1422,TCH,KOLSKY Karel (TCH),S,12,Zdenek ZIKAN,,G19'
569,1771,URU,HOHBERG Juan (URU),S,7,Luis CUBILLA,,G19'
262,1949,ARG,CAP Vladislao (ARG),S,11,Rene HOUSEMAN,,G19'
279,2217,FRG,SCHOEN Helmut (FRG),S,11,Karl-Heinz RUMMENIGGE,,G19'
293,774,BEL,THYS Guy (BEL),S,10,Ludo COECK,,G19'
97410600,97410064,ITA,LIPPI Marcello (ITA),S,23,MATERAZZI ,,G19'
249720,300061510,GER,LOEW Joachim (GER),S,13,M�LLER,,G19'
250,1840,FRG,SCHOEN Helmut (FRG),S,13,Gerd MUELLER,,G19' G26' G39'
308,675,MAR,FARIA Jose (BRA),S,17,Abdelrazzak KHAIRI,,G19' G27'
220,1403,HUN,BAROTI Lajos (HUN),S,8,Lajos TICHY,,G19' G46'
220,1389,NIR,DOHERTY Peter (NIR),S,11,Peter McPARLAND,,G19' G60'
250,1769,BRA,ZAGALLO Mario (BRA),S,10,PEL� (Edson Arantes do Nascimento),,G19' G67'
43950100,43950017,GER,VOELLER Rudi (GER),S,11,KLOSE,,G19' O85'
231,1564,URU,CORAZZO Juan Carlos (URU),S,22,Angel Ruben CABRERA,,G19' R71'
206,1179,ITA,POZZO Vittorio (ITA),S,0,Pietro FERRARIS,,G2'
211,1283,TUR,PUPPO Sandro (ITA),S,8,Suat MAMAT,,G2'
220,1323,ARG,STABILE Guillermo (ARG),S,7,Oreste Omar CORBATTA,,G2'
488,1340,BRA,FEOLA Vicente (BRA),S,20,VAVA,,G2'
231,1532,ITA,MAZZA Paolo (ITA),S,7,Bruno MORA,,G2'
238,1597,HUN,BAROTI Lajos (HUN),S,7,Ferenc BENE,,G2'
278,2405,PER,CALDERON Marcos (PER),S,6,Jose VELASQUEZ,,G2'
308,475,HUN,MEZEY Gyorgy (HUN),S,11,Marton ESTERHAZY,,G2'
308,551,ESP,MUNOZ Miguel (ESP),S,9,Emilio BUTRAGUENO,,G2'
1025,8782,DEN,JOHANSSON Bo (SWE),S,21,Martin JORGENSEN,,G2'
97410100,97410044,CRO,KRANJCAR Zlatko (CRO),S,2,SRNA,,G2'
337,3059,ARG,BASILE Alfio (ARG),S,9,BATISTUTA,,G2' G44' P90'
238,1675,POR,GLORIA Otto (BRA),S,12,JOSE AUGUSTO,,G2' G67'
308,610,URS,LOBANOVSKYI Valeriy (UKR),S,8,Pavel YAKOVENKO,,G2' O72'
97410100,97410026,GHA,DUJKOVIC Ratomir (SRB),S,3,ASAMOAH,,G2' Y66' O85'
202,1088,ARG,OLAZAR Francisco (ARG),S,0,Luis MONTI,,G20'
405,1087,ARG,OLAZAR Francisco (ARG),S,0,Carlos PEUCELLE,,G20'
208,1225,YUG,ARSENIJEVIC Milorad (YUG),S,0,Stjepan BOBEK,,G20'
220,1421,NIR,DOHERTY Peter (NIR),S,8,Wilbur CUSH,,G20'
220,1389,FRG,HERBERGER Sepp (FRG),S,8,Helmut RAHN,,G20'
220,1426,PAR,GONZALEZ Aurelio (PAR),S,8,Jose PARODI,,G20'
250,1774,FRG,SCHOEN Helmut (FRG),S,14,Stan LIBUDA,,G20'
263,1946,ARG,CAP Vladislao (ARG),S,11,Rene HOUSEMAN,,G20'
337,3076,GER,VOGTS Berti (GER),S,9,Karlheinz RIEDLE,,G20'
97410100,97410038,SCG,PETKOVIC Ilija (SCG),S,22,Sasa ILIC,,G20'
249722,300061449,RSA,PARREIRA Carlos Alberto (BRA),S,20,KHUMALO,,G20'
255931,300186478,NED,Louis VAN GAAL (NED),S,11,ROBBEN,,G20'
43950100,43950004,GER,VOELLER Rudi (GER),S,11,KLOSE,,G20' G25' G70' O76'
202,1101,URU,SUPPICI Alberto (URU),S,0,Juan ANSELMO,,G20' G31'
231,1480,YUG,LOVRIC Ljubomir (YUG),S,10,Milan GALIC,C,G20' G61'
204,1135,ITA,POZZO Vittorio (ITA),S,0,Raimundo ORSI,,G20' G69'
1014,8760,CHI,ACOSTA Nelson (URU),S,10,Jose SIERRA,,G20' O70'
249717,300061501,GER,LOEW Joachim (GER),S,11,KLOSE,,G20' O72'
1014,8770,ENG,HODDLE Glenn (ENG),S,14,Darren ANDERTON,,G20' O79'
249722,300061486,CIV,ERIKSSON Sven Goran (SWE),S,13,ROMARIC,,G20' O79'
255931,300186498,CHI,SAMPAOLI Jorge (ARG),S,11,VARGAS,,G20' O85'
220,1386,PAR,GONZALEZ Aurelio (PAR),S,11,Florencio AMARILLA,,G20' P44'
238,1656,FRG,SCHOEN Helmut (FRG),S,8,Helmut HALLER,,G20' P77'
322,111,URS,LOBANOVSKYI Valeriy (UKR),S,10,Oleg PROTASOV,,G20' Y75'
201,1093,YUG,SIMONOVIC Bosko (YUG),S,0,Aleksandar TIRNANIC,,G21'
209,1186,BRA,COSTA Flavio (BRA),S,0,JAIR,,G21'
211,1284,TUR,PUPPO Sandro (ITA),S,4,Mustafa ERTAN,,G21'
231,1478,COL,PEDERNERA Adolfo (ARG),S,13,German ACEROS,,G21'
250,1839,MAR,VIDINIC Blagoje (YUG),S,14,Houmane JARIR,,G21'
278,2216,ESP,KUBALA Ladislao (ESP),S,7,DANI,,G21'
337,3061,NGA,WESTERHOF Clemens (NED),S,9,YEKINI,,G21'
1014,8731,ESP,CLEMENTE Javier (ESP),S,6,R. HIERRO,,G21'
3461,3100,ITA,SACCHI Arrigo (ITA),S,10,BAGGIO R.,,G21' G25' O71'
337,3071,ARG,BASILE Alfio (ARG),S,7,Claudio CANIGGIA,,G21' G28' Y54'
279,2201,ARG,MENOTTI Cesar Luis (ARG),S,10,Mario KEMPES,,G21' G48'
3492,1130,TCH,PETRU Karel (TCH),S,0,Oldrich NEJEDLY,,G21' G69' G80'
255931,300186478,AUS,POSTECOGLOU Ange (AUS),S,4,CAHILL,,G21' Y43' O69'
3485,1239,URU,LOPEZ Juan (URU),S,8,Juan HOHBERG,,G22'
220,1387,FRA,BATTEAUX Albert (FRA),S,18,Raymond KOPA,,G22'
238,1637,ESP,VILLALONGA Jose (ESP),S,19,Jose Maria FUSTE,,G22'
239,1702,PRK,MYUNG Rye Hyun (PRK),S,16,LI Dong Woon,,G22'
250,1769,BRA,ZAGALLO Mario (BRA),S,7,JAIRZINHO,,G22'
262,2186,YUG,MILJANIC Miljan (SRB),S,5,Josip KATALINSKI,,G22'
278,2344,FRA,HIDALGO Michel (FRA),S,6,Christian LOPEZ,,G22'
293,764,AUT,SCHMIDT Georg (AUT),S,7,Walter SCHACHNER,,G22'
308,580,FRG,BECKENBAUER Franz (GER),S,9,Rudi VOELLER,,G22'
1028,8787,NED,HIDDINK Guus (NED),S,12,Boudewijn ZENDEN,,G22'
43950100,43950033,DEN,OLSEN Morten (DEN),S,19,ROMMEDAHL,,G22'
